Code,Date,AdjustedClosingPrice,AdjustedOpenPrice,AdjustedHighPrice,AdjustedLowPrice,Volume,Frequency
ACES,2024-12-02,755.0,770.0,780.0,755.0,19416400.0,2513.0
ACES,2024-12-03,760.0,755.0,765.0,735.0,19858400.0,2585.0
ACES,2024-12-04,770.0,765.0,780.0,745.0,49136900.0,3376.0
ACES,2024-12-05,765.0,770.0,780.0,760.0,23355600.0,2578.0
ACES,2024-12-06,770.0,765.0,775.0,760.0,9974700.0,1505.0
ACES,2024-12-09,770.0,770.0,780.0,765.0,18256500.0,3081.0
ACES,2024-12-10,800.0,775.0,810.0,770.0,47664000.0,4029.0
ACES,2024-12-11,820.0,805.0,825.0,805.0,49079700.0,4600.0
ACES,2024-12-12,825.0,825.0,830.0,815.0,29886200.0,3116.0
ACES,2024-12-13,820.0,820.0,830.0,805.0,25526300.0,2521.0
ACES,2024-12-16,810.0,820.0,825.0,790.0,28494600.0,3263.0
ACES,2024-12-17,800.0,820.0,830.0,800.0,25322100.0,2207.0
ACES,2024-12-18,830.0,795.0,830.0,790.0,45616600.0,4178.0
ACES,2024-12-19,800.0,820.0,825.0,785.0,23279300.0,2730.0
ACES,2024-12-20,795.0,800.0,810.0,790.0,18334300.0,3328.0
ACES,2024-12-23,810.0,800.0,810.0,795.0,5301100.0,1673.0
ACES,2024-12-24,795.0,810.0,810.0,795.0,5105900.0,1070.0
ACES,2024-12-27,795.0,795.0,805.0,775.0,9351000.0,1631.0
ACES,2024-12-30,790.0,795.0,800.0,770.0,31228400.0,2522.0
ACES,2025-01-02,755.0,790.0,795.0,750.0,34395200.0,3558.0
ACES,2025-01-03,755.0,760.0,765.0,750.0,23893100.0,2708.0
ACES,2025-01-06,755.0,760.0,765.0,750.0,12541600.0,3536.0
ACES,2025-01-07,735.0,755.0,765.0,725.0,29019700.0,5449.0
ACES,2025-01-08,705.0,735.0,745.0,700.0,62539900.0,7839.0
ACES,2025-01-09,720.0,705.0,735.0,705.0,42894100.0,6329.0
ACES,2025-01-10,740.0,725.0,755.0,715.0,28854600.0,3886.0
ACES,2025-01-13,745.0,745.0,760.0,740.0,26636600.0,3336.0
ACES,2025-01-14,735.0,755.0,755.0,730.0,13634000.0,3276.0
ACES,2025-01-15,750.0,735.0,755.0,735.0,20014800.0,4061.0
ACES,2025-01-16,745.0,755.0,760.0,745.0,32340100.0,3070.0
ACES,2025-01-17,755.0,750.0,755.0,740.0,16040300.0,2206.0
ACES,2025-01-20,745.0,760.0,760.0,735.0,33462500.0,3419.0
ACES,2025-01-21,735.0,745.0,755.0,735.0,19831900.0,3277.0
ACES,2025-01-22,775.0,740.0,785.0,740.0,42931900.0,4497.0
ACES,2025-01-23,770.0,785.0,790.0,765.0,20898800.0,3913.0
ACES,2025-01-24,755.0,770.0,775.0,755.0,15506400.0,3456.0
ACES,2025-01-30,765.0,760.0,775.0,750.0,23046500.0,2792.0
ACES,2025-01-31,765.0,770.0,770.0,745.0,44343600.0,3198.0
ACES,2025-02-03,730.0,750.0,760.0,730.0,64310400.0,3613.0
ACES,2025-02-04,735.0,740.0,750.0,730.0,20278400.0,2281.0
ACES,2025-02-05,735.0,750.0,755.0,735.0,9482600.0,1384.0
ACES,2025-02-06,735.0,745.0,745.0,730.0,16333900.0,1904.0
ACES,2025-02-07,745.0,740.0,745.0,725.0,13568100.0,1951.0
ACES,2025-02-10,740.0,745.0,770.0,740.0,16588700.0,2271.0
ACES,2025-02-11,755.0,750.0,760.0,740.0,11020700.0,1254.0
ACES,2025-02-12,770.0,760.0,785.0,750.0,22556300.0,2244.0
ACES,2025-02-13,800.0,770.0,800.0,765.0,43321900.0,4832.0
ACES,2025-02-14,805.0,800.0,815.0,790.0,40610000.0,4177.0
ACES,2025-02-17,800.0,805.0,810.0,785.0,23405200.0,2170.0
ACES,2025-02-18,790.0,800.0,800.0,765.0,57723800.0,5536.0
ACES,2025-02-19,790.0,795.0,815.0,785.0,20924100.0,2155.0
ACES,2025-02-20,780.0,785.0,790.0,765.0,13392500.0,2290.0
ACES,2025-02-21,765.0,780.0,785.0,765.0,13613600.0,3194.0
ACES,2025-02-24,740.0,765.0,770.0,730.0,27400200.0,3044.0
ACES,2025-02-25,700.0,745.0,750.0,690.0,40993800.0,4723.0
ACES,2025-02-26,695.0,700.0,715.0,675.0,32354000.0,3730.0
ACES,2025-02-27,700.0,700.0,715.0,695.0,31872200.0,2568.0
ACES,2025-02-28,645.0,705.0,705.0,635.0,25289700.0,2895.0
ACES,2025-03-03,670.0,650.0,705.0,645.0,29951200.0,3534.0
ACES,2025-03-04,665.0,675.0,675.0,655.0,17391400.0,3658.0
ACES,2025-03-05,680.0,670.0,685.0,660.0,24932900.0,2842.0
ACES,2025-03-06,675.0,685.0,700.0,665.0,20476400.0,3674.0
ACES,2025-03-07,670.0,675.0,680.0,665.0,9156300.0,2292.0
ACES,2025-03-10,675.0,675.0,680.0,665.0,16060500.0,3686.0
ACES,2025-03-11,665.0,675.0,675.0,655.0,9558800.0,2275.0
ACES,2025-03-12,655.0,665.0,665.0,650.0,11805100.0,3461.0
